List	Trial	Item	Register	Wort	Sentence	Satz	Bild1	Bild2	Bild3	Bild4
1	1	21	2	<b>Wanst </b> ?	"Ich st&auml;hle jetzt meinen <b>Wanst</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Wanst-1.jpg	Bauch-1.jpg	Wanst-2.jpg	Bauch-2.jpg
1	2	8	1	"<b>Gem&uuml;se </b> ?"	"Ich esse jetzt mein <b>Gem&uuml;se</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Gruenzeug-1.jpg	Gemuese-2.jpg	Gruenzeug-2.jpg	Gemuese-1.jpg
1	3	30	1	"<b>Sch&auml;nke</b> ?"	"Ich streiche bald meine <b>Sch&auml;nke</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Kneipe-1.jpg	Schaenke-1.jpg	Schaenke-2.jpg	Kneipe-2.jpg
1	4	23	2	"<b>M&auml;hne</b> ?"	"Ich k&auml;mme gleich meine <b>M&auml;hne</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Maehne-1.jpg	Maehne-2.jpg	Haare-1.jpg	Haare-2.jpg
1	5	39	1	<b>Pension</b> ?	Ich betreibe jetzt meine <b>Pension</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Absteige-2.jpg	Pension-2.jpg	Absteige-1.jpg	Pension-1.jpg
1	6	12	2	"<b>G&auml;ule</b> ?"	"Ich striegel gleich meine <b>G&auml;ule</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Pferde-1.jpg	Gaule-2.jpg	Gaule-1.jpg	Pferde-2.jpg
1	7	4	2	<b>Lauscher</b> ?	Ich pierce bald meine <b>Lauscher</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Lauscher-2.jpg	Ohren-1.jpg	Lauscher-1.jpg	Ohren-2.jpg
1	8	13	1	<b>Zeichnung</b> ?	"Ich kopiere sp&auml;ter meine <b>Zeichnung</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Kritzelei-1.jpg	Kritzelei-2.jpg	Zeichnung-1.jpg	Zeichnung-2.jpg
1	9	6	2	"<b>P&ouml;tte</b> ?"	"Ich t&ouml;pfere sp&auml;ter meine <b>P&ouml;tte</b> "	"Welches Bild passt am besten f&uuml;r das Wort"	Tassen-1.jpg	Poette-1.jpg	Tassen-2.jpg	Poette-2.jpg
1	10	22	2	"<b>K&ouml;ter</b> ?"	"Ich entwurme jetzt meinen <b>K&ouml;ter</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Koeter-2.jpg	Hund-1.jpg	Koeter-1.jpg	Hund-2.jpg
1	11	26	1	<b>Residenz</b> ?	Ich verkaufe bald meine <b>Residenz</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Bude-2.jpg	Bude-1.jpg	Residenz-1.jpg	Residenz-2.jpg
1	12	14	1	"<b>Fingern&auml;gel</b> ?"	"Ich lackiere sp&auml;ter meine <b>Fingern&auml;gel</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Fingernaegel-1.jpg	Klauen-1.jpg	Fingernaegel-2.jpg	Klauen-2.jpg
1	13	7	2	<b>Stahlross</b> ?	Ich fahre jetzt mein <b>Stahlross</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Fahrrad-1.jpg	Stahlross-1.jpg	Stahlross-2.jpg	Fahrrad-2.jpg
1	14	20	1	<b>Champagner</b> ?	Ich serviere jetzt meinen <b>Champagner</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Champagner-1.jpg	Schampus-1.jpg	Schampus-2.jpg	Champagner-2.jpg
1	15	32	2	<b>Pillen</b> ?	Ich verschreibe bald meine <b>Pillen</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Arznei-1.jpg	Pillen-1.jpg	Pillen-2.jpg	Arznei-2.jpg
1	16	11	1	<b>Hosen</b> ?	"Ich b&uuml;gel gleich meine <b>Hosen</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Hosen-1.jpg	Hosen-2.jpg	Buxen-1.jpg	Buxen-2.jpg
1	17	15	1	"<b>Feuerwerksk&ouml;rper</b> ?"	"Ich z&uuml;nde jetzt meinen <b>Feuerwerksk&ouml;rper</b> "	"Welches Bild passt am besten f&uuml;r das Wort"	Boeller-1.jpg	Boeller-2.jpg	Feuerwerkskoerper-1.jpg	Feuerwerkskoerper-2.jpg
1	18	18	2	<b>Vieh</b> ?	"Ich f&uuml;ttere gleich mein <b>Vieh</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Vieh-2.jpg	Vieh-1.jpg	Tier-2.jpg	Tier-1.jpg
1	19	16	1	"<b>F&uuml;hrerschein</b> ?"	"Ich beantrage jetzt meinen <b>F&uuml;hrerschein</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Lappen-2.jpg	Lappen-1.jpg	Fuehrerschein-2.jpg	Fuehrerschein-1.jpg
1	20	9	2	<b>Karren</b> ?	Ich verschrotte bald meine <b>Karren</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Autos-1.jpg	Karren-1.jpg	Karren-2.jpg	Autos-2.jpg
1	21	36	1	<b>Lampe</b> ?	"Ich montiere sp&auml;ter meine <b>Lampe</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Lampe-1.jpg	Funzel-1.jpg	Funzel-2.jpg	Lampe-2.jpg
1	22	2	1	<b>Kleidung</b> ?	Ich falte gleich meine <b>Kleidung</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Kleidung-1.jpg	Kleidung-2.jpg	Klamotten-1.jpg	Klamotten-2.jpg
1	23	17	2	<b>Klo</b> ?	Ich putze gleich mein <b>Klo</b>	"Welches Bild passt am besten f&uuml;r das Wort"	WC-1.jpg	WC-2.jpg	Klo-1.jpg	Klo-2.jpg
1	24	24	2	<b>Pulle</b> ?	"Ich bef&uuml;lle gleich meine <b>Pulle</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Flasche-2.jpg	Pulle-2.jpg	Flasche-1.jpg	Pulle-1.jpg
1	25	28	1	<b>Trompete</b> ?	"Ich spiele sp&auml;ter meine <b>Trompete</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Trompete-2.jpg	Troete-2.jpg	Trompete-1.jpg	Troete-1.jpg
1	26	29	1	<b>Zigarre</b> ?	Ich rauche bald meine <b>Zigarre</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Zigarre-1.jpg	Zigarre-2.jpg	Kippe-1.jpg	Kippe-2.jpg
1	27	5	1	"<b>Gem&auml;cher</b> ?"	"Ich renoviere sp&auml;ter meine <b>Gem&auml;cher</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Kammern-1.jpg	Kammern-2.jpg	Gemaecher-1.jpg	Gemaecher-2.jpg
1	28	27	2	<b>Fummel</b> ?	Ich schneidere jetzt meine <b>Fummel</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Kleider-1.jpg	Fummel-1.jpg	Kleider-2.jpg	Fummel-2.jpg
1	29	10	2	<b>Stelzen</b> ?	Ich rasiere bald meine <b>Stelzen</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Stelzen-1.jpg	Beine-1.jpg	Stelzen-2.jpg	Beine-2.jpg
